gene,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000249307.1,RP11-438E5.1,108.8179883,209.0763476,67.89620903,1.80833459,0.329947935,5.480666479,4.24E-08,4.77E-06
ENSG00000249471.3,ZNF324B,140.3325102,101.6552416,156.1191504,-0.789787406,0.144118041,-5.480142521,4.25E-08,4.77E-06
ENSG00000267745.1,RP11-686D22.8,7.672295675,14.4748031,4.895762031,1.620314339,0.295606351,5.481324516,4.22E-08,4.77E-06
ENSG00000172493.16,AFF1,1224.457603,1558.788137,1087.996161,0.623957403,0.113888089,5.47868886,4.28E-08,4.79E-06
ENSG00000171860.4,C3AR1,156.5244883,273.9858061,108.5810933,1.587119255,0.289750582,5.477536037,4.31E-08,4.81E-06
ENSG00000112936.14,C7,155.2333998,348.8502709,76.20610544,1.881197117,0.343626787,5.474535711,4.39E-08,4.84E-06
ENSG00000171100.10,MTM1,563.284536,694.0643521,509.9050192,0.682392727,0.124641109,5.474860831,4.38E-08,4.84E-06
ENSG00000180871.3,CXCR2,6.694671053,15.66286,3.03418577,2.172776824,0.396902042,5.474340255,4.39E-08,4.84E-06
ENSG00000142920.12,ADC,1253.812141,916.8252477,1391.357812,-0.676971059,0.123734587,-5.471154633,4.47E-08,4.89E-06
ENSG00000261589.1,CTC-462L7.1,59.42915003,87.13010102,48.12263942,1.078941931,0.197195889,5.471422016,4.46E-08,4.89E-06
ENSG00000034063.9,UHRF1,95.55923393,151.7107707,72.64023935,1.28393577,0.234915605,5.465519289,4.62E-08,5.02E-06
ENSG00000099937.6,SERPIND1,54.47178336,139.8070011,19.64108225,2.218194115,0.40644952,5.457489812,4.83E-08,5.24E-06
ENSG00000168874.8,ATOH8,409.2506993,591.2639935,334.9595588,1.127820068,0.206744295,5.455144814,4.89E-08,5.27E-06
ENSG00000185650.8,ZFP36L1,3649.17354,5645.570479,2834.317646,1.213250709,0.222398452,5.455301961,4.89E-08,5.27E-06
ENSG00000177917.6,ARL6IP6,359.4001545,444.0857902,324.8345889,0.716018407,0.131365968,5.450562403,5.02E-08,5.38E-06
ENSG00000047617.10,ANO2,81.11491315,128.7770798,61.66096758,1.197644498,0.219824837,5.44817645,5.09E-08,5.43E-06
ENSG00000231486.3,AC096579.7,14.41159013,32.47100357,7.040400977,2.143045344,0.393384079,5.447717533,5.10E-08,5.43E-06
ENSG00000110852.4,CLEC2B,127.0319414,229.704175,85.12490727,1.319887151,0.24280474,5.436002398,5.45E-08,5.78E-06
ENSG00000103642.7,LACTB,276.7622795,344.6240423,249.0636008,0.504401096,0.092821336,5.434107274,5.51E-08,5.79E-06
ENSG00000237686.1,RP5-1120P11.1,40.61643852,24.23887677,47.3011576,-1.114222769,0.205025666,-5.434552625,5.49E-08,5.79E-06
ENSG00000122862.4,SRGN,1165.930687,2082.580925,791.787733,1.342438172,0.247152994,5.431607965,5.58E-08,5.85E-06
ENSG00000090376.4,IRAK3,240.2020546,381.250418,182.631294,1.170545646,0.21559675,5.429328804,5.66E-08,5.91E-06
